geography,Household Deprivation: Household is not deprived in any dimension; measures: Value,Household Deprivation: Household is deprived in 1 dimension; measures: Value,Household Deprivation: Household is deprived in 2 dimensions; measures: Value,Household Deprivation: Household is deprived in 3 dimensions; measures: Value,Household Deprivation: Household is deprived in 4 dimensions; measures: Value
BH19 1,782,783,380,56,5
BH19 2,1008,911,486,89,4
BH19 3,421,314,95,16,2
BH2  5,785,1015,580,154,38
BH2  6,897,769,394,116,28
BH20 4,1042,897,519,91,8
BH20 5,805,622,256,47,3
BH20 6,1071,716,380,84,5
BH20 7,858,681,319,81,7
BH21 1,2274,1659,753,109,12
BH21 2,1889,1270,525,70,5
BH21 3,2260,1247,553,62,6
BH21 4,448,282,105,13,0
BH21 5,483,315,143,34,3
BH21 6,218,215,98,29,0
BH21 7,797,544,222,23,0
BH21 8,108,62,25,6,0
BH22 0,1302,1319,772,90,9
BH22 8,1984,1734,836,112,7
BH22 9,1554,1489,855,130,6
BH23 1,1090,937,523,138,13
BH23 2,2193,1686,895,145,12
BH23 3,1335,1378,932,266,44
BH23 4,1952,1765,812,66,5
BH23 5,1254,1294,741,81,3
BH23 6,86,59,37,0,2
BH23 7,870,626,278,52,5
BH23 8,1052,606,255,45,4
BH24 1,2001,1482,857,167,13
BH24 2,1440,1116,429,53,2
BH24 3,1085,625,241,34,5
BH24 4,309,178,83,15,0
BH25 5,2226,1910,1046,205,23
BH25 6,1008,1265,777,148,8
BH25 7,1388,1289,563,60,0
BH3  7,1178,731,281,78,27
BH31 6,2113,1367,617,83,2
BH31 7,681,442,189,6,1
BH4  8,1413,966,443,102,11
BH4  9,941,753,370,111,11
BH5  1,1228,1197,735,286,73
BH5  2,911,704,383,110,17
BH6  3,1848,1547,707,160,21
BH6  4,819,652,295,39,6
BH6  5,1788,1261,714,181,20
BH7  6,1575,1111,596,161,30
BH7  7,817,480,175,19,1
BH8  0,1138,965,702,215,21
BH8  8,2216,1887,952,323,79
BH8  9,1566,1099,654,128,19
BH9  1,2263,1496,776,206,30
BH9  2,1667,1058,457,110,20
BH9  3,1920,1400,672,107,12
BL0  0,1279,720,374,90,6
BL0  9,2859,1473,760,132,15
BL1  1,90,64,50,10,4
BL1  2,413,690,656,334,43
BL1  3,1158,1388,1157,503,48
BL1  4,1330,1292,976,309,40
BL1  5,2422,1529,831,205,19
BL1  6,1606,1185,750,174,12
BL1  7,1833,1118,487,93,10
BL1  8,1478,1457,1058,387,35
BL2  1,533,555,436,129,42
BL2  2,1167,1236,1036,348,39
BL2  3,1794,1270,577,100,8
BL2  4,1069,651,245,26,2
BL2  5,1197,1319,1066,390,34
BL2  6,1755,1536,975,295,30
BL3  1,2159,1682,1132,272,20
BL3  2,1032,1184,907,319,43
BL3  3,1753,1945,1459,480,41
BL3  4,2115,1890,1331,401,38
